Fno,Country,Latitude,Longitude
Field 51,THA,"15°00'38.11"" N","100°00'19.18"" E"
Field 52,THA,"15°00'38.11"" N","100°00'19.18"" E"
Field 53,THA,"15°00'38.11"" N","100°00'19.18"" E"
Field 54,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 55,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 56,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 57,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 58,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 59,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 60,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 61,THA,"14°52'45.09"" N","100°04'39.65"" E"
Field 62,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 63,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 64,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 65,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 66,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 67,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 68,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 69,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 70,THA,"14°37'32.19"" N","100°02'38.87"" E"
Field 141,THA,"13°43'766"" N","100°31'240"" E"
Field 142,THA,"14°40'6.96"" N","100°15'25.19"" E"
Field 143,THA,"14°40'6.13"" N","100°15'25.16"" E"
Field 144,THA,"14°40'5.48"" N","100°15'26.18"" E"
Field 145,THA,"14°40'6.20"" N","100°15'26.18"" E"
Field 146,THA,"17°07'09.70"" N","100°09'29.97"" E"
Field 147,THA,"17°06'21.42"" N","100°09'45.98"" E"
Field 148,THA,"17° 00'15.34"" N","100°10'27.73"" E"
Field 149,THA,"17°00'20.16"" N","100°03'11.51"" E"
Field 150,THA,"17°05'00.43"" N","100°03'38.59"" E"
Field 151,THA,"16°59'28.06"" N","100°03'15.91"" E"
Field 152,THA,"14°46'31.11"" N","99°54'50.29"" E"
Field 153,THA,"14°46'28.50"" N","99°54'54.35"" E"
Field 154,THA,"14°58'88"" N","100°04'89"" E"
Field 155,THA,"14°33'35.27"" N","100°08'30.77"" E"
Field 156,THA,"14° 22' 56.643"" N","100° 4' 27.5088"" E"
Field 157,THA,"14° 22' 56.6862"" N","14° 22' 56.6862"" E"
Field 158,THA,"14° 22' 57.5394"" N","100° 4' 26.9538"" E"
Field 159,THA,"14° 22' 59.844"" N","100° 4' 26.2884"" E"
Field 160,THA,"14° 23' 2.547"" N","100° 4' 24.9054"" E"
Field 161,THA,"14° 23' 1.9968"" N","100° 4' 23.5806"" E"
Field 162,THA,"14° 23' 1.8528"" N","100° 4' 23.0052"" E"
Field 163,THA,"14° 23' 1.0854"" N","100° 4' 21.18"" E"
Field 164,THA,"14° 22' 59.2896"" N","100° 4' 15.9702"" E"
Field 165,THA,"14° 22' 57.3312"" N ","100° 4' 12.2448"" E"
Field 166,THA,"14° 22' 57.1398"" N","100° 3' 57.3438"" E"
Field 167,THA,"14° 22' 56.01"" N","100° 3' 53.9634"" E"
Field 168,THA,"14° 22' 54.8364"" N","100° 3' 49.7082"" E"
Field 169,THA,"14° 22' 57.7878"" N","100° 4' 18.912"" E"
Field 170,THA,"14° 22' 57.324"" N","100° 4' 18.1812"" E"
Field 171,THA,"14° 22' 53.058"" N","100° 4' 19.9158"" E"
Field 172,THA,"14° 22' 53.5296"" N","100° 4' 21.5358"" E"
Field 173,THA,"14° 22' 53.7198"" N","100° 4' 22.0038"" E"
Field 174,THA,"14° 22' 53.7882"" N","100° 4' 22.5546"" E"
Field 175,THA,"14° 22' 54.3534"" N","100° 4' 23.9448"" E"
Field 176,THA,"14° 22' 55.2324"" N","100° 4' 26.1618"" E"
Field 177,THA,"14° 22' 51.7038"" N","100° 4' 22.2384"" E"
Field 178,THA,"14° 22' 51.8052"" N","100° 4' 18.9438"" E"
Field 179,THA,"14° 23' 9.0846"" N","100° 4' 16.5"" E"
Field 180,THA,"14° 23' 8.0124"" N","100° 4' 16.8636"" E"
Field 181,THA,"14° 22' 28.8402"" N","100° 4' 17.4282"" E"
Field 182,THA,"14° 22' 27.7608"" N","100° 4' 17.421"" E"
Field 183,THA,"14° 22' 27.5268"" N","100° 4' 16.8456"" E"
Field 184,THA,"14° 22' 27.2166"" N","100° 4' 15.6684"" E"
Field 185,THA,"14° 22' 29.5356"" N","100° 4' 18.5052"" E"
Field 71,IDN,"6° 22' 49.908"" S","107° 32' 3.1194"" E"
Field 72,IDN,"6° 20' 30.2634""  S","107° 39' 20.6994"" E"
Field 73,IDN,"6° 47' 53.9874""  S","107° 10' 57.18"" E"
Field 74,IDN,"6° 33' 6.12""  S","107° 27' 47.412"" E "
Field 75,IDN,"6° 31' 9.156""  S","107° 26' 57.3714"" E"
Field 76,IDN,"6° 22' 49.152""  S","107° 30' 19.2954"" E"
Field 77,IDN,"6° 30' 52.9914""  S","107° 47' 39.5154"" E"
Field 78,IDN,"6° 23' 13.056""  S","107° 40' 36.804"" E"
Field 80,IDN,"7° 11' 56.7234""  S","107° 55' 1.9194"" E"
Field 82,IDN,"6° 39' 55.1154""  S","107° 32' 44.628"" E"
Field 83,IDN,"6° 36' 31.608""  S","107° 29' 3.156"" E"
Field 84,IDN,"6° 21' 6.4074"" S","107° 27' 29.7"" E"
Field 85,IDN,"6° 22' 40.8"" S","107° 30' 24.4794"" E"
Field 86,IDN,"6° 22' 38.0274"" S","107° 0' 14.7594"" E"
Field 87,IDN,"6° 19' 8.796"" S","107° 41' 14.4594"" E"
Field 91,IDN,"6° 50' 21.1554""  S","107° 50' 31.6674"" E"
Field 92,IDN,"7° 7' 40.2234""  S","107° 59' 40.7754"" E"
Field 93,IDN,"7° 2' 12.4434""  S","107° 34' 29.4594"" E"
Field 94,IDN,"7° 4' 17.7234""  S","107° 59' 0.276"" E"
Field 95,IDN,"7° 7' 54.804""  S","107° 59' 23.928"" E"
Field 101,IND,"11° 28' 186"" N","77° 19'412"" E"
Field 102,IND,"11° 28' 261""N","77° 18' 881"" E"
Field 103,IND,"11° 25' 803"" N","77°13'114"" E"
Field 104,IND,"11° 25'192""N","77°14'330"" E"
Field 105,IND,"11° 30'120""N","77° 14'198"" E "
Field 106,IND,"11° 16' 54.804"" N","77° 11' 24.4314"" E"
Field 107,IND,"11° 17' 20.9034"" N","77° 10'59.412"" E"
Field 108,IND,"11° 27'187"" N","77° 12'643"" E "
Field 109,IND,"11° 29'114"" N","77°18'187"" E "
Field 110,IND,"11° 19'129"" N","77° 110'124"" E"
Field 111,IND,"11° 25' 402"" N","77° 14'098"" E "
Field 112,IND,"11° 25' 304"" N","77° 10'080"" E"
Field 113,IND,"11° 28' 259"" N","77° 11'785"" E"
Field 114,IND,"11° 27' 809"" N","77° 12'689"" E "
Field 115,IND,"11° 20' 190"" N","77° 10'10.1"" E"
Field 116,IND,"11° 28' 802"" N","77° 14'400"" E"
Field 117,IND,"11° 28' 270"" N","77°17'882"" E"
Field 118,IND,"11° 12' 124"" N","77° 180'104"" E "
Field 119,IND,"11° 28' 269"" N","77° 21'184"" E"
Field 120,IND,"11° 16' 22.5114"" N"," 77° 8' 22.0194"" E"
Field 186,IDN,"6° 51' 40.3554"" S","107° 56' 11.4354"" E"
Field 187,IDN,"6° 53' 12.0834"" S","107° 56' 8.268"" E"
Field 188,IDN,"6° 51' 56.448"" S","107° 55' 2.676"" E"
Field 189,IDN,"6° 49' 1.524"" S","107° 56' 44.88"" E"
Field 190,IDN,"6° 43' 34.6434"" S","108° 6' 58.788"" E"
Field 191,IDN,"6° 44' 3.228"" S","108° 7' 26.7594"" E"
Field 192,IDN,"6° 44' 30.2274"" S","108° 8' 2.9754"" E"
Field 193,IDN,"6° 47' 6.2874"" S","108° 30' 58.1034"" E"
Field 194,IDN,"6° 53' 58.812"" S","108° 29' 35.0154"" E"
Field 195,IDN,"6° 59' 34.224"" S","108° 27' 50.76"" E"
Field 196,IDN,"6° 59' 32.172"" S","108° 27' 58.8954"" E"
Field 197,IDN,"7° 0' 31.824"" S","108° 21' 1.9794"" E"
Field 198,IDN,"7° 0' 22.7514"" S","108° 20' 59.6754"" E"
Field 199,IDN,"6° 50' 4.5954"" S","108° 12' 47.8074"" E"
Field 200,IDN,"6° 50' 4.272"" S","108° 12' 47.268"" E"
Field 201,IDN,"6° 48' 6.984"" S","108° 10' 55.344"" E"
Field 202,IDN,"7° 11' 58.308"" S","107° 52' 30.6114"" E"
Field 203,IDN,"7° 9' 22.1034"" S","107° 59' 34.6914"" E"
Field 204,IDN,"7° 12' 5.328"" S","107° 54' 48.204"" E"
Field 205,IDN,"7° 12' 5.724"" S","107° 54' 44.5674"" E"
Field 206,IDN,"7° 9' 43.6314"" S","107° 53' 53.1234"" E"
Field 207,IDN,"6° 52' 58.2954"" S","108° 29' 44.4474"" E"
Field 208,IDN,"7° 2' 0.672"" S","108° 13' 3.7194"" E"
Field 209,IDN,"7° 21' 55.692"" S","108° 25' 58.6554"" E"
Field 210,IDN,"7° 19' 26.436"" S","108° 24' 53.6034"" E"
Field 211,IDN,"7° 18' 22.248"" S","108° 23' 10.68"" E"
Field 212,IDN,"7° 18' 22.5"" S","108° 23' 8.1594"" E"
Field 213,IDN,"7° 15' 16.344"" S","108° 19' 48.9354"" E"
Field 214,IDN,"7° 1' 34.644"" S","107° 34' 33.06"" E"
Field 215,IDN,"7° 1' 32.448"" S","107° 34' 48.1794"" E"
Field 216,IDN,"6° 0' 58.8816"" S","107° 0' 49.86"" E"
Field 217,IDN,"6° 0' 56.2752"" S","107° 0' 46.2486"" E"
Field 218,IDN,"7° 0' 0.3378"" S","107° 0' 37.6416"" E"
Field 219,IDN,"7° 0' 2.5806"" S","107° 0' 35.4054"" E"
Field 220,IDN,"7° 0' 1.7562"" S","107° 0' 30.6642"" E"
Field 221,IDN,"6° 0' 48.6864"" S","107° 0' 14.3172"" E"
Field 222,IDN,"6° 0' 48.8268"" S","107° 0' 8.1318"" E"
Field 223,IDN,"6° 0' 48.3156"" S","107° 0' 9.8922"" E"
Field 224,IDN,"6° 0' 48.171"" S","107° 0' 12.8664"" E"
Field 225,IDN,"6° 0' 50.5152"" S","107° 0' 8.2362"" E"
Field 226,IDN,"6° 0' 54.36"" S","107° 0' 58.971"" E"
Field 227,IDN,"6° 0' 5.0796"" S","106° 0' 48.2652"" E"
Field 228,IDN,"6° 0' 42.2136"" S","107° 0' 2.5704"" E"
Field 229,IDN,"6° 0' 34.6062"" S","106° 0' 43.362"" E"
Field 230,IDN,"6° 0' 34.2822"" S","106° 0' 45.4068"" E"
Field 231,IDN,"6° 0' 23.2554"" S","106° 0' 44.1864"" E"
Field 232,IDN,"6° 0' 13.4454"" S","107° 0' 2.2464"" E"
Field 233,IDN,"6° 0' 11.3256"" S","107° 0' 3.0018"" E"
Field 234,IDN,"6° 0' 12.4308"" S","107° 0' 1.17"" E"
Field 235,IDN,"6° 0' 10.245"" S","107° 0' 4.2402"" E"
Field 236,IDN,"6° 6' 2.2026"" S","107° 0' 16.6104"" E"
Field 237,IDN,"6° 6' 1.425"" S","107° 0' 16.6104"" E"
Field 238,IDN,"6° 6' 1.5582"" S","107° 0' 16.725"" E"
Field 239,IDN,"6° 0' 59.1042"" S","107° 0' 14.7306"" E"
Field 240,IDN,"6° 0' 34.2684"" S","107° 0' 8.73"" E"
Field 241,IDN,"6° 0' 27.702"" S","107° 0' 5.475"" E"
Field 242,IDN,"6° 0' 28.3032"" S","107° 0' 5.0862"" E"
Field 243,IDN,"6° 0' 48.1494"" S","107° 0' 14.0718"" E"
Field 244,IDN,"7° 0' 1.4436"" S","107° 0' 42.3468"" E"
Field 245,IDN,"7° 0' 1.5876"" S","107° 0' 48.5382"" E"
Field 96,IDN,"10° 20' 38.328"" N","76° 34' 26.4426"" E"
Field 97,IDN,"10° 18' 34.1994""  N","76° 34' 30.8994"" E"
Field 98,IDN,"10° 18' 32.0394""  N","76° 34' 1.344"" E"
Field 99,IDN,"10° 18' 10.5834""  N","76° 34' 52.572"" E"
Field 100,IDN,"10° 20' 36.78""  N","76° 34' 4.5834"" E"
