Year,Fno,Identifier,Country,Season,Latitude,Longitude
2013,2,IDNDS1302,IDN,DS,"6,17.349'S","167,28.260'E"
2013,3,IDNDS1303,IDN,DS,"6,17.337'S","107,28.347'E"
2013,4,IDNDS1304,IDN,DS,"6,17.167' S","107,28.282' E"
2013,5,IDNDS1305,IDN,DS,"6,17.354'S","107,8.324 'E"
2013,6,IDNDS1306,IDN,DS,"6,18.851'S","107,28.306'E"
2013,7,IDNDS1307,IDN,DS,"6,18.925'S","107,28.358'E"
2013,8,IDNDS1308,IDN,DS,"6,18.85'S","107,28.304'E"
2013,9,IDNDS1309,IDN,DS,"6,18.851'S","107,28.304'E"
2013,10,IDNDS1310,IDN,DS,"6,18.851'S","107,28.306'E"
2013,11,IDNDS1311,IDN,DS,"6,18.105'S","107,28.39'E"
2013,12,IDNDS1312,IDN,DS,"6,18.266'S","107,28.32',E"
2013,13,IDNDS1313,IDN,DS,"6,18.317'S","107,28.310'E"
2013,14,IDNDS1314,IDN,DS,"6,18.325'S","107,28.433'E"
2013,15,IDNDS1315,IDN,DS,"6,18.455'S","107,28.284'E"
2013,1,IDNWS1301,IDN,WS,"6,18.346'S","167,28349'E"
2013,2,IDNWS1302,IDN,WS,"06,17.349'S","167,28.260'E"
2013,3,IDNWS1303,IDN,WS,"06,17.337'S","107,28.347'E"
2013,4,IDNWS1304,IDN,WS,"6,17.167'S","107,28.282'E"
2013,7,IDNWS1307,IDN,WS,"6,18.925'S","107,28.358'E"
2013,8,IDNWS1308,IDN,WS,"6,18.85'S","107,28.304'E"
2013,9,IDNWS1309,IDN,WS,"6,18.851'S","107,28.304'E"
2013,10,IDNWS1310,IDN,WS,"6,18.851'S","107,28.306'E"
2013,11,IDNWS1311,IDN,WS,"6,18.105'S","107,28.39'E"
2013,12,IDNWS1312,IDN,WS,"6,18.266'S","107,28.320'E"
2013,13,IDNWS1313,IDN,WS,"6,18.317'S","107,28.310'E"
2013,14,IDNWS1314,IDN,WS,"6,18.325'S","107,28.433'E"
2013,15,IDNWS1315,IDN,WS,"6,18.455'S","107,28.284'E"
